,City,Median Distance
0,honolulu,33.391502443409195
1,miami,142.4250098150011
2,tampa,324.65843310659443
3,san antonio,363.2440133768246
4,new orleans,103.71506449102002
5,houston,393.31922800999854
6,jacksonville,184.7491977109799
7,austin,123.4130336747596
8,el paso,241.77035541698098
9,tucson,135.1886573688331
10,fort worth,239.42829592647712
11,san diego,110.4823016975953
12,dallas,517.6910349488032
13,mesa,411.07186003098684
14,phoenix,531.1653077188619
15,atlanta,352.5908767445978
16,long beach,112.43594712458017
17,los angeles,187.45364568751782
18,albuquerque,154.1549609352827
19,memphis,219.26775682613422
20,charlotte,250.99583378369397
21,oklahoma city,213.8640916930978
22,raleigh,564.5758483924587
23,nashville,173.4737119590455
24,tulsa,327.75416893749957
25,las vegas,395.4325306061429
26,fresno,96.81028138211194
27,virginia beach,140.52217801446787
28,san jose,89.93615678539246
29,san francisco,67.07456393848179
30,oakland,97.86786161059999
31,sacramento,84.43608702747389
32,louisville,213.46187094939228
33,st louis,635.6392999404509
34,colorado springs,221.51876805656343
35,washington dc,106.63066459056502
36,arlington,83.32804902347608
37,baltimore,86.40811005013484
38,kansas city,978.4717215629996
39,indianapolis,406.8613360436203
40,denver,282.46033845245324
41,philadelphia,106.3816169123748
42,columbus,385.1571978605703
43,pittsburgh,272.2169395270653
44,new york,105.39471592283348
45,cleveland,149.90331297482186
46,omaha,228.0611153138911
47,chicago,138.7255136116567
48,milwaukee,146.95002866365886
49,detroit,486.72985457457605
50,boston,98.31718190212806
51,buffalo,162.92768398377717
52,minneapolis,317.85844822537524
53,st paul,125.64368306106073
54,portland,193.9154182902529
55,seattle,134.21542012813217
